Node0	 	 x:-0.8	 y:1.3	 	1
Node1	 	 x:-0.7	 y:1.3	 	1
Node2	 	 x:-0.6	 y:1.3	 	1
Node3	 	 x:-0.5	 y:1.3	 	1
Node4	 	 x:-0.4	 y:1.3	 	1
Node5	 	 x:-0.3	 y:1.3	 	1
Node6	 	 x:-0.2	 y:1.3	 	1
Node7	 	 x:-0.1	 y:1.3	 	1
Node8	 	 x:0	 y:1.3	 	1
Node9	 	 x:0.1	 y:1.3	 	1
Node10	 	 x:0.2	 y:1.3	 	1
Node11	 	 x:0.3	 y:1.3	 	1
Node12	 	 x:0.4	 y:1.3	 	0
Node13	 	 x:0.5	 y:1.3	 	0
Node14	 	 x:0.6	 y:1.3	 	0
Node15	 	 x:0.7	 y:1.3	 	1
Node16	 	 x:0.8	 y:1.3	 	1
Node17	 	 x:-0.8	 y:1.2	 	1
Node18	 	 x:-0.7	 y:1.2	 	1
Node19	 	 x:-0.6	 y:1.2	 	1
Node20	 	 x:-0.5	 y:1.2	 	1
Node21	 	 x:-0.4	 y:1.2	 	1
Node22	 	 x:-0.3	 y:1.2	 	1
Node23	 	 x:-0.2	 y:1.2	 	1
Node24	 	 x:-0.1	 y:1.2	 	1
Node25	 	 x:0	 y:1.2	 	1
Node26	 	 x:0.1	 y:1.2	 	1
Node27	 	 x:0.2	 y:1.2	 	1
Node28	 	 x:0.3	 y:1.2	 	1
Node29	 	 x:0.4	 y:1.2	 	0
Node30	 	 x:0.5	 y:1.2	 	0
Node31	 	 x:0.6	 y:1.2	 	0
Node32	 	 x:0.7	 y:1.2	 	1
Node33	 	 x:0.8	 y:1.2	 	1
Node34	 	 x:-0.8	 y:1.1	 	1
Node35	 	 x:-0.7	 y:1.1	 	1
Node36	 	 x:-0.6	 y:1.1	 	1
Node37	 	 x:-0.5	 y:1.1	 	1
Node38	 	 x:-0.4	 y:1.1	 	1
Node39	 	 x:-0.3	 y:1.1	 	1
Node40	 	 x:-0.2	 y:1.1	 	1
Node41	 	 x:-0.1	 y:1.1	 	1
Node42	 	 x:0	 y:1.1	 	1
Node43	 	 x:0.1	 y:1.1	 	1
Node44	 	 x:0.2	 y:1.1	 	1
Node45	 	 x:0.3	 y:1.1	 	1
Node46	 	 x:0.4	 y:1.1	 	0
Node47	 	 x:0.5	 y:1.1	 	0
Node48	 	 x:0.6	 y:1.1	 	0
Node49	 	 x:0.7	 y:1.1	 	1
Node50	 	 x:0.8	 y:1.1	 	1
Node51	 	 x:-0.8	 y:1	 	0
Node52	 	 x:-0.7	 y:1	 	0
Node53	 	 x:-0.6	 y:1	 	0
Node54	 	 x:-0.5	 y:1	 	0
Node55	 	 x:-0.4	 y:1	 	0
Node56	 	 x:-0.3	 y:1	 	1
Node57	 	 x:-0.2	 y:1	 	1
Node58	 	 x:-0.1	 y:1	 	1
Node59	 	 x:0	 y:1	 	1
Node60	 	 x:0.1	 y:1	 	1
Node61	 	 x:0.2	 y:1	 	1
Node62	 	 x:0.3	 y:1	 	1
Node63	 	 x:0.4	 y:1	 	0
Node64	 	 x:0.5	 y:1	 	0
Node65	 	 x:0.6	 y:1	 	0
Node66	 	 x:0.7	 y:1	 	1
Node67	 	 x:0.8	 y:1	 	1
Node68	 	 x:-0.8	 y:0.9	 	0
Node69	 	 x:-0.7	 y:0.9	 	0
Node70	 	 x:-0.6	 y:0.9	 	0
Node71	 	 x:-0.5	 y:0.9	 	0
Node72	 	 x:-0.4	 y:0.9	 	0
Node73	 	 x:-0.3	 y:0.9	 	1
Node74	 	 x:-0.2	 y:0.9	 	1
Node75	 	 x:-0.1	 y:0.9	 	1
Node76	 	 x:0	 y:0.9	 	1
Node77	 	 x:0.1	 y:0.9	 	1
Node78	 	 x:0.2	 y:0.9	 	1
Node79	 	 x:0.3	 y:0.9	 	1
Node80	 	 x:0.4	 y:0.9	 	0
Node81	 	 x:0.5	 y:0.9	 	0
Node82	 	 x:0.6	 y:0.9	 	0
Node83	 	 x:0.7	 y:0.9	 	1
Node84	 	 x:0.8	 y:0.9	 	1
Node85	 	 x:-0.8	 y:0.8	 	0
Node86	 	 x:-0.7	 y:0.8	 	0
Node87	 	 x:-0.6	 y:0.8	 	0
Node88	 	 x:-0.5	 y:0.8	 	0
Node89	 	 x:-0.4	 y:0.8	 	0
Node90	 	 x:-0.3	 y:0.8	 	1
Node91	 	 x:-0.2	 y:0.8	 	1
Node92	 	 x:-0.1	 y:0.8	 	1
Node93	 	 x:0	 y:0.8	 	1
Node94	 	 x:0.1	 y:0.8	 	1
Node95	 	 x:0.2	 y:0.8	 	1
Node96	 	 x:0.3	 y:0.8	 	1
Node97	 	 x:0.4	 y:0.8	 	1
Node98	 	 x:0.5	 y:0.8	 	1
Node99	 	 x:0.6	 y:0.8	 	1
Node100	 	 x:0.7	 y:0.8	 	1
Node101	 	 x:0.8	 y:0.8	 	1
Node102	 	 x:-0.8	 y:0.7	 	0
Node103	 	 x:-0.7	 y:0.7	 	0
Node104	 	 x:-0.6	 y:0.7	 	0
Node105	 	 x:-0.5	 y:0.7	 	0
Node106	 	 x:-0.4	 y:0.7	 	0
Node107	 	 x:-0.3	 y:0.7	 	1
Node108	 	 x:-0.2	 y:0.7	 	1
Node109	 	 x:-0.1	 y:0.7	 	1
Node110	 	 x:0	 y:0.7	 	1
Node111	 	 x:0.1	 y:0.7	 	1
Node112	 	 x:0.2	 y:0.7	 	1
